Title,Rate,Rating people,Directors,Script writers,Actors,Genres,Production countries and regions,Languages,Initial release date,Other names,IMDb link
鬼妈妈,8.0,106896,"[""亨利·塞利克""]","[""亨利·塞利克"",""尼尔·盖曼""]","[""达科塔·范宁"",""泰瑞·海切尔"",""珍妮弗·桑德斯"",""唐·弗兰奇"",""小罗伯特·拜利""]","[""动画"",""奇幻"",""冒险""]"," 美国"," 英语 / 俄语","[""2009-02-06(美国)""]"," 卡罗琳 / 卡罗兰 / 第十四道门 / 怪诞随意门 / 卡洛琳",http://www.imdb.com/title/tt0327597
上帝也疯狂,8.6,95615,"[""加美·尤伊斯""]","[""加美·尤伊斯""]","[""Marius Weyers"",""Sandra Prinsloo"",""历苏"",""Louw Verwey"",""Michael Thys""]","[""喜剧""]"," 博茨瓦纳 / 南非"," 英语 / 南非荷兰语 / Ungwatsi","[""1980-09-10(南非)"",""1981-08-21(挪威)""]"," 众神也疯狂 (上) / 上帝一定发疯了 (上)",http://www.imdb.com/title/tt0080801
不见不散,7.8,94270,"[""冯小刚""]","[""顾晓阳"",""冯小刚""]","[""葛优"",""徐帆""]","[""喜剧"",""爱情""]"," 中国大陆"," 汉语普通话 / 英语","[""1998-12-24(中国大陆)""]"," Be There or Be Square",http://www.imdb.com/title/tt0199354
神探,8.4,107839,"[""杜琪峰"",""韦家辉""]","[""韦家辉"",""欧健儿""]","[""刘青云"",""安志杰"",""林家栋"",""林熙蕾"",""李国麟"",""李彩宁 "",""陈慧珊"",""林雪"",""张兆辉"",""刘锦玲"",""郭少芸"",""郑保瑞""]","[""动作"",""惊悚"",""犯罪""]"," 香港"," 粤语 / 英语","[""2007-09-06(威尼斯电影节)"",""2007-11-29(香港)""]"," Mad Detective",http://www.imdb.com/title/tt0969269
整蛊专家,7.3,93613,"[""王晶""]","[""王晶""]","[""刘德华"",""周星驰"",""关之琳"",""邱淑贞"",""吴孟达"",""李子雄"",""王晶"",""成奎安"",""程东""]","[""喜剧"",""爱情""]"," 香港"," 粤语","[""1991-02-02(香港)""]"," 求爱总动员 / 整人专家 / Tricky Brains",http://www.imdb.com/title/tt0103328
十二宫,7.2,102483,"[""大卫·芬奇""]","[""詹姆斯·范德比尔特""]","[""杰克·吉伦哈尔"",""马克·鲁弗洛"",""安东尼·爱德华兹"",""小罗伯特·唐尼"",""布莱恩·考克斯"",""约翰·卡洛·林奇"",""里奇蒙德·阿奎特 "",""鲍勃·斯蒂芬森"",""约翰·莱西"",""科洛·塞维尼"",""Ed Setrakian"",""约翰·盖兹"",""约翰·特里"",""坎迪·克拉克"",""伊莱亚斯·科泰斯""]","[""剧情"",""悬疑"",""惊悚"",""历史"",""犯罪""]"," 美国"," 英语","[""2007-03-02(美国)""]"," 索命黄道带(台) / 杀谜藏(港) / 杀人十二星座 / 杀人十二宫 / 十二宫杀手",http://www.imdb.com/title/tt0443706
春娇救志明,7.1,118166,"[""彭浩翔""]","[""彭浩翔"",""尹志文"",""陆以心""]","[""余文乐"",""杨千嬅"",""蒋梦婕"",""曾国祥"",""秦沛"",""邵音音"",""王晓晨"",""司徒慧焯"",""谷德昭"",""谷祖琳"",""陈逸宁"",""阎汶宣"",""林兆霞"",""李程彬"",""欧铠淳"",""林海峰"",""森美"",""吴岱融"",""陈意岚"",""邹凯光"",""周俊伟"",""陈静"",""麦芷谊"",""郭奕芯"",""李拾壹"",""关逸基"",""廖子妤"",""袁澧林"",""田启文"",""连诗雅"",""黄文慧"",""彭浩翔""]","[""剧情"",""喜剧"",""爱情""]"," 香港 / 中国大陆"," 粤语 / 汉语普通话","[""2017-04-28(中国大陆)"",""2017-04-11(香港电影节)"",""2017-04-27(香港)""]"," 志明与春娇3 / Love off the cuff",http://www.imdb.com/title/tt5956006
追凶者也,7.6,118171,"[""曹保平""]","[""张天辉"",""阳建军"",""曹保平""]","[""刘烨"",""张译"",""段博文"",""王子文"",""谭卓"",""王砚辉"",""颜北"",""孙磊"",""施宁"",""王云辉"",""张岳"",""岱江""]","[""剧情"",""喜剧"",""犯罪""]"," 中国大陆"," 西南方言","[""2016-09-14(中国大陆)""]"," 吊水岩杀人事件 / 边城凶案 / Cock and Bull",http://www.imdb.com/title/tt6067462
大红灯笼高高挂,8.4,99057,"[""张艺谋""]","[""倪震"",""苏童""]","[""巩俐"",""马精武"",""何赛飞"",""曹翠芬"",""周琦"",""孔琳"",""金淑媛"",""丁惟敏"",""初晓""]","[""剧情"",""爱情"",""历史""]"," 中国大陆 / 香港 / 台湾"," 汉语普通话","[""1991-09-10(威尼斯电影节/多伦多电影节)""]"," Raise The Red Lantern / Épouses et concubines",http://www.imdb.com/title/tt0101640
蝴蝶,8.6,94529,"[""费利普·弥勒""]","[""费利普·弥勒""]","[""米歇尔·塞罗尔"",""柯莱儿·布翁尼许"",""娜德·蒂约"",""奥黛丽·玛丽奥"",""弗朗索瓦·米肖"",""海伦·伊利"",""伊蒂格·斯特凡""]","[""剧情"",""喜剧"",""儿童""]"," 法国"," 法语","[""2002-12-18(法国)""]"," The Butterfly",http://www.imdb.com/title/tt0329485
